"Ceremony","Award_Name"
"Street Film Festival, Milan","Street Award"
"Taormina International Film Festival","Best Actor"
"Acapulco Black Film Festival","Lincoln Filmmakers Trophy"
"Amiens International Film Festival","OCIC Award - Honorable Mention"
"Cinéma du Réel","Procirep Award"
"DocAviv Film Festival","Best International Film - Honorable Mention"
"DocAviv Film Festival","Best International Film"
"Fribourg International Film Festival","Documentary Award"
"International Documentary Association","Creative Recognition Award"
"Jameson Dublin International Film Festival","Festival Award"
"Luxembourg City Film Festival","Documentary Award"
"Ouagadougou Panafrican Film and Television Festival","Paul Robeson Award"
"Oxford Film Festival, Mississippi, USA","Audience Award"
"Thessaloniki Documentary Film Festival","Amnesty International Award"
"Fantasia Film Festival","Best Animation Film"
"Newport Beach Film Festival","Feature Film Award"
"Los Angeles Film Festival","Narrative Award"
"Student Academy Awards, USA","Bronze Medal"
"Bratislava International Film Festival","Award for Artistic Excellence"
"Cinéma du Réel","Libraries Award"
"IndieLisboa International Independent Film Festival","Special Mention"
"Yamagata International Documentary Film Festival","Runner-up Prize"
"Paris Film Festival","CNC European Award"
"Venice Film Festival","Golden Plate"
"Saas Fee Filmfest","Audience Award"
"Chicago International Children's Film Festival","Adult's Jury Award - Certificate of Merit"
"Ghent International Film Festival","Georges Delerue Prize"
"Jerusalem Film Festival","In Spirit for Freedom Award - Honorable Mention"
"Seville European Film Festival","RTVA Award"
"Algarve International Film Festival","International Jury Award"
"Algarve International Film Festival","Best European Film"
"Algarve International Film Festival","Adriano Morais Award"
"Castellinaria International Festival of Young Cinema","Audience Award"
"Celtic Film and Television Festival","Honorable Mention"
"Chicago International Children's Film Festival","Montgomery Prize"
"Cork International Film Festival","National Jury Award"
"Foyle Film Festival","Festival Prize"
"Galway Film Fleadh","Tiernan McBride Award"
"Giffoni Film Festival","ANEC Gold Medal"
"Hannover Up and Coming Film Festival","Special Mention"
"Incurt","Best New Talent"
"Jesuit Film & Video Awards","Jesuit Film & Video Award"
"Odense International Film Festival","Grand Prix"
"Santa Clarita International Film Festival","Film Award"
"WorldFest Flagstaff","Gold Special Jury Award"
"Cinéma du Réel","Joris Ivens Award"
"Shock Stock","Crystal Shocker"
"Bombay International Documentary, Short and Animation Film Festival","Golden Conch"
"Cinéma du Réel","Intermedia Award"
"Full Frame Documentary Film Festival","Jury Award"
"Seattle International Film Festival","New American Cinema Award"
"Polish Film Festival","Best Screenplay"
"Florida Film Festival","Florida Forever Filmmaker Award"
"Dixie Film Festival","Festival Prize"
"Marco Island Film Festival","Audience Award"
"Aftonbladet TV Prize, Sweden","TV Prize"
"Capri, Hollywood","Capri Actress Award"
"CineVegas International Film Festival","Jury Prize"
"GLAAD Media Awards","Vanguard Award"
"Hollywood Film Awards","Actress of the Year"
"Logie Awards","Logie"
"TV Guide Awards","TV Guide Award"
"Pusan International Film Festival","Woonpa Award"
"Women in Film Korea Festival","Women in Film Korea Award"
"Yamagata International Documentary Film Festival","Ogawa Shinsuke Prize"
"Australian Movie Convention","Australian Boxoffice Achievement Award"
"Logie Awards","Silver Logie"
"Cinefan - Festival of Asian and Arab Cinema","Audience Award"
"Copenhagen International Film Festival","Jury Special Prize"
"Jerusalem Film Festival","Best Israeli Screenplay"
"Molodist International Film Festival","Scythian Deer"
"Munich Film Festival","CineVision Award"
"Valladolid International Film Festival","Best Screenplay"
"Zurich Film Festival","New Talent Award"
"Crystal Palace International Film Festival","Festival Award"
"BIG Star Entertainment Awards, India","Music Award"
"BIG Star Entertainment Awards, India","Film Award"
"Bollywood Hungama Surfers' Choice Movie Awards","Surfers' Choice Award"
"Bollywood Hungama Surfers' Choice Music Awards, IN","Surfers' Choice Award"
"Filmfare Awards","Main Award"
"Global Indian Music Awards","Film Music Award"
"Mirchi Music Awards, IN","Critics' Award"
"MTV Asia Awards","Asian Film Award"
"Zee Cine Awards","Critics Choice Award"
"Krakow Film Festival","Golden Osiris - FAO Award of the United Nations"
"Venice Film Festival","Italian Cinema Clubs Award"
"Toronto International Film Festival","Discovery Award"
"San Sebastián International Film Festival","Arte Award"
"Dallas OUT TAKES","Best Feature"
"Gaudí Awards","Honorary Award"
"Lleida Latin-American Film Festival","Jordi Dauder Award"
"Ondas Awards","Special Jury Award - Film"
"Palm Springs International Film Festival","Cine Latino Award"
"Premis de Cinematografia de la Generalitat de Catalunya","Premi de Cinematografia de la Generalitat de Catalunya"
"Toulouse Cinespaña","Best Screenplay"
"Monte-Carlo TV Festival","Silver Nymph"
"New York Festivals","Gold Medal"
"Prix Walo","Prix Walo"
"Seoul International Drama Awards","Individual Award"
"Los Angeles Independent Film Festival","Audience Award"
"Student Academy Awards, USA","Student Academy Award"
"Vancouver International Film Festival","Impact Award"
"Vancouver International Film Festival","Most Popular Environmental Film"
"Charleston International Film Festival","Golden Crescent Award for Best Film"
"Festival International du film Policier de Beaune","Prix Sang Neuf"
"International Filmmaker Festival of World Cinema, London","Festival Award"
"Madrid International Film Festival, ES","Festival Award"
"Sarlat International Cinema Festival","Youth Jury Prize"
"International Festival of Film Schools, Mexico","Best Video"
"Giffoni Film Festival","Award of the President of the Italian Republic"
"Hamburg Film Festival","Children's Filmfest Audience Award"
"Hamburg Film Festival","Michel Award - Special Mention"
"Isfahan International Festival of Films for Children & Young Adults","Best Director"
"Kristiansand International Children's Film Festival","Audience Award"
"Munich Film Festival","Kids Audience Award"
"Nederlands Film Festival","Movie Squad Junior Award"
"Nederlands Film Festival","Tuschinski Award"
"Zlín International Film Festival for Children and Youth","Prize of the Ecumenical Jury"
"Drama Short Film Festival","Prix UIP Drama (European Short Film)"
"Method Fest","Best Screenplay"
"Los Angeles Movie Awards, US","Award of Excellence"
"Missoula International Wildlife Film Festival","Honorable Mention"
"The 48 Hour Film Project, Los Angeles","Audience Award"
"The 48 Hour Film Project, Los Angeles","Judges Award"
"Hollywood Black Film Festival","Audience Choice Award"
"Las Vegas Black Film Festival","Festival Prize"
"Brussels International Festival of Fantasy Film (BIFFF)","Special Mention"
"Hessian Film Award","Honorary Award"
"Women Film Critics Circle Awards","Lifetime Achievement Award"
"Puchon International Fantastic Film Festival","Citizen's Choice Award"
"Marco Island Film Festival","Crystal Palm Award"
"Brightside Tavern Film Festival","Festival Prize"
"Hang Onto Your Shorts Film Festival, NJ","Festival Award"
"L.A. Comedy Film Festival and Screenplay Competition","Best of the Fest: Short Film"
"LA Shorts Awards","Gold Award"
"Los Angeles Reel Film Festival, US","Honorable Mention"
"New York International Independent Film & Video Festival","Documentary Film Award"
"Nyack Film Festival","Festival Award"
"Heartland Film Festival","Special Achievement Award"
"Seattle Film Critics Awards","Special Citation"
"Camerimage","Award for Outstanding Achievements in the Field of Music Videos"
"Cannes Film Festival","Label Europa Cinemas"
"Cannes Film Festival","Regards Jeunes Prize"
"Jackson Crossroads Film Festival","Audience Choice"
"Art Film Festival","Award of the Mayor of the City of Trencianske Teplice"
"FEST International Film Festival","Jury Prize- Main Program"
"Mannheim-Heidelberg International Filmfestival","Special Mention"
"Riga International Film Forum 'Arsenals'","InterFilm Jury Award"
"Locarno International Film Festival","Junior Jury Award - Special Mention"
"Dinard British Film Festival","Special Mention"
"Nashville Film Festival","Southwest Airlines Audience Award"
"Nuremberg International Human Rights Film Festival","Open Eyes Jury Award"
"Oberhausen International Short Film Festival","3Sat Promotional Award"
"Berlin International Film Festival","Special Teddy"
"Duisburg Film Week","Best German Documentary"
"Fantafestival","Best Thriller"
"Coachella Valley Festival of Festivals","Best Film"
"Arizona International Film Festival","Reel Frontier Special Jury Award"
"Guam International Film Festival","Grand Jury Award"
"Nashville Film Festival","Honorable Mention"
"Midwest Independent Film Festival","Best of the Midwest Award"
"Vail Film Festival","Best Film"
"Berlin International Film Festival","IWG Golden Plaque"
"Clermont-Ferrand International Short Film Festival","Canal+ Award"
"Göteborg Film Festival","City of Gothenburg Award"
"Odense International Film Festival","First Prize"
"Tampere International Short Film Festival","Best Fiction"
"Uppsala International Short Film Festival","Uppland Film Trust Award"
"ACTRA Awards","ACTRA Toronto Award"
"Acapulco Black Film Festival","Byron E. Lewis Trailblazer Award"
"Los Angeles Pan African Film Festival","Lifetime Achievement Award"
"German Children's-Film & TV-Festival","Award of the MDR Broadcasting Board"
"David di Donatello Awards","50th Anniversary David"
"Golden Goblets, Italy","Career Goblet"
"Palic Film Festival","Audience Award"
"Boston Independent Film Festival","Special Jury Prize"
"Brussels International Festival of Fantasy Film (BIFFF)","Best Fantasy Film"
"Fantasia Film Festival","Best European/North - South American Film"
"Gérardmer Film Festival","SCI FI Jury Award"
"Adana Film Festival","Golden Boll"
"Ankara International Film Festival","Best Director"
"Ankara International Film Festival","Best Sound Design"
"Berlin International Film Festival","Reader Jury of the """"""""Tagesspiegel"""""""""
"Damascus Film Festival","Best Director"
"Nantes Three Continents Festival","Silver Montgolfiere"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Prize of the Young Filmmakers"
"Nuremberg Film Festival """"""""Turkey-Germany""""""""","Special Jury Prize"
"Olhar de Cinema - Curitiba International Film Festival","ABRACCINE - Critics Award"
"Olhar de Cinema - Curitiba International Film Festival","Olhar Award - Best Film"
"SIYAD Turkish Film Critics Association Award","Turkish Cinema Awards"
"SIYAD Turkish Film Critics Association Award","SIYAD Turkish Film Critics Association Award"
"Vesoul Asian Film Festival","Emile Guimet Award"
"Lleida Latin-American Film Festival","Audience Award"
"Golden Rhyton Bulgarian Documentary and Animation Film Festival","Golden Rhyton"
"Golden Rose","Golden Rose"
"Leipzig DOK Festival","MDR Film Prize"
"Sofia International Film Festival","Best Bulgarian Feature Film"
"Taipei Film Festival","Audience Award"
"Tallinn Black Nights Film Festival","Don Quixote Award"
"Tallinn Black Nights Film Festival","Special Mention"
"Wiesbaden goEast","Documentary Award"
"Wiesbaden goEast","FIPRESCI Prize - Special Mention"
"Zurich Film Festival","Audience Award"
"Max Ophüls Festival","Interfilm Award"
"Luchon International Film Festival","Audience Award"
"Tirana International Film Festival, AL","Jury Award"
"Venice Film Festival","Best Psychological Film"
"Broadcast Film Critics Association Awards","Joel Siegel Award"
"Hollywood Film Awards","Humanitarian Award"
"Rome Film Fest","Premiere Prize"
"Full Frame Documentary Film Festival","Career Award"
"Washington DC Independent Film Festival","Lifetime Achievement Award"
"Aspen Shortsfest","Horizon Award"
"Aspen Shortsfest","Audience Award"
"CineMAiubit - International Student Film Festival","Best Director"
"Mons International Festival of Love Films","Best European Film"
"Hamptons International Film Festival","Tangerine Entertainment Juice Award"
"Cologne Conference","Producers' Award"
"Cinéma du Réel","Short Film Award"
"Nuremberg International Human Rights Film Festival","Nuremberg International Human Rights Film Award"
"Sydney Film Festival","FIPRESCI Prize"
"Thessaloniki Documentary Film Festival","Audience Award"
"Yamagata International Documentary Film Festival","Community Cinema Award"
"Gen Art Film Festival","Best Feature"
"SXSW Film Festival","SXSW Competition Award - Honorable Mention"
"SXSW Film Festival","SXSW Competition Award"
"Oberhausen International Short Film Festival","MuVi Award"
